Model,Log-Likelihood,AIC,BIC,Num Parameters
"GARCH(1,1)",-3682.5075816066746,7375.015163213349,7404.325724271663,5
"GJR-GARCH(1,1)",-3643.1134925077117,7298.226985015423,7333.3996582854,6
