Series,Log-Likelihood,AIC,BIC,Omega,Alpha,Gamma,Beta,Persistence
SP500_Tech,-3642.559261289519,7297.118522579038,7332.288885045981,0.044471990405623545,1.5195275830942116e-18,0.26089579142757097,0.8374936928757117,0.9679415885894972
VIX,-8720.31980629973,17452.63961259946,17487.809975066404,7.729813454784834,0.27930452294735036,-0.27930452270052897,0.727242270781964,0.8668945323790499
FEAR,-9819.123524974913,19650.247049949827,19685.41741241677,2.037295550429349,0.01138458700105465,0.24618699003855668,0.8655219179725854,0.9999999999929183
FEAR_Orthogonal,-11395.370502853697,22802.741005707394,22837.911368174337,39.15650643166194,0.13535873825131958,-0.05622109276832199,0.8110263140105057,0.9182745058776643
