"Date","Actual_Return","Actual_Variance","Actual_Volatility","FC_Var_Baseline","FC_Var_VIX","FC_Var_FearOrth","FC_Var_FearScaled","FC_Var_Both","FC_Vol_Baseline","FC_Vol_VIX","FC_Vol_FearOrth","FC_Vol_FearScaled","FC_Vol_Both","VIX_Value"
2021-06-02,0.0068744045320433,4.72574376701775e-05,0.0068744045320433,9.67455457549429e-05,9.93770227538671e-05,9.6600987791297e-05,9.78296656397109e-05,0.000104429136787112,0.00983593136184586,0.00996880247341009,0.0098285801513391,0.00989088801067482,0.0102190575292985,-0.0116260632552716
2021-06-03,-0.0093460848751973,8.73493024943917e-05,0.0093460848751973,8.5423684307489e-05,9.46740746573599e-05,8.52892993831676e-05,8.68220485353191e-05,9.9339720527141e-05,0.00924249340316178,0.00973006036247257,0.00923522059201444,0.00931783497038443,0.009966931349575,0.0649186779701382
2021-06-04,0.0190342780377356,0.000362303740417824,0.0190342780377356,0.000103787511315329,0.000116173979089421,0.000103653945932082,0.00010578843899122,0.000120893499075127,0.0101876155853727,0.0107784033645722,0.010181058193139,0.0102853506985042,0.0109951579831818,-0.156513895123976
2021-06-07,-0.000214301729172,4.59252311261092e-08,0.000214301729172,9.13186889331761e-05,0.000100087836517364,9.14967705158284e-05,9.3271146338434e-05,0.00010346272019833,0.00955608125400659,0.0100043908618848,0.0095653944255231,0.00965769881174775,0.0101716626073779,-0.156513895123976
2021-06-08,7.13636179645013e-05,5.09276596898329e-09,7.13636179645013e-05,8.12345806523112e-05,9.2391550211104e-05,8.13365250210197e-05,8.31740489102706e-05,9.52959739296596e-05,0.00901302283655773,0.00961205234125907,0.00901867645616693,0.00911998075163926,0.00976196567959853,-0.0676675905075781
2021-06-09,0.0007142603080321,5.1016778763011e-07,0.0007142603080321,7.26401366194409e-05,8.9988246908965e-05,7.26830525127505e-05,7.4586254666256e-05,9.26790726772218e-05,0.00852291831589631,0.00948621351799362,0.00852543562011646,0.00863633340407004,0.00962699707474879,0.0444154639970347
2021-06-10,0.0073250551611376,5.36564331137086e-05,0.0073250551611376,6.52585672955789e-05,8.23439300327002e-05,6.52558951399815e-05,6.72900568245359e-05,8.48173905694752e-05,0.00807827749557905,0.00907435562630759,0.00807811210246438,0.00820305167754879,0.00920963574575429,-0.200253598276099
2021-06-11,0.0059339648182223,3.52119384639e-05,0.0059339648182223,5.90651607319124e-05,7.59518603516235e-05,5.90705547875937e-05,6.11244144740792e-05,7.81491055226025e-05,0.00768538617975131,0.00871503645153728,0.00768573710112398,0.00781821043935754,0.00884019827394174,-0.261762718777019
2021-06-14,0.0100922307288893,0.000101853121085137,0.0100922307288893,5.38805077466802e-05,7.42969651102326e-05,5.3879045093553e-05,5.59057050139804e-05,7.62464782133284e-05,0.00734033430755577,0.00861956873110439,0.0073402346756458,0.00747701177035187,0.00873192293903974,-0.160614590060436
2021-06-15,-0.0061554302981998,3.78893221559961e-05,0.0061554302981998,4.95403077297305e-05,7.5307091508106e-05,4.9597337010232e-05,5.1665521116352e-05,7.74362514000319e-05,0.00703848760244205,0.00867796586234966,0.00704253768255676,0.00718787319840521,0.00879978700878788,-0.0745018213591489
2021-06-16,-0.0054167983281093,2.93417041274077e-05,0.0054167983281093,5.91620029045701e-05,9.39950281474826e-05,5.91943156195184e-05,6.18409888812769e-05,9.74331974143429e-05,0.0076916840096672,0.00969510330772616,0.00769378421971388,0.00786390417548923,0.0098708255690364,0.0799540379854341
2021-06-17,0.011502230737258,0.000132301311933123,0.011502230737258,6.46026069141341e-05,0.000101834432334517,6.46074352599894e-05,6.76995122571713e-05,0.000105650028694978,0.00803757469104544,0.0100913047885056,0.00803787504630355,0.00822797133303048,0.0102786199800838,0.0252794090452799
2021-06-18,-0.0091770246082365,8.42177806601783e-05,0.0091770246082365,5.85160406973073e-05,0.000104971887097073,5.8602314786175e-05,6.22310393494411e-05,0.000110041071040803,0.00764957781170355,0.0102455789049264,0.00765521487524517,0.0078886652451122,0.0104900462840163,0.428505286308651
